platform_id,platform,category,protocol,api_surface,automation_method,tier,country
IN-medifox-technologies-private,MEDIFOX TECHNOLOGIES PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-mediquity-technologies-private,MEDIQUITY TECHNOLOGIES PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-mediquity-technologies-private,MEDIQUITY TECHNOLOGIES PRIVATE LIMITED,LMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-mindgenix-private,MINDGENIX PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-mmh-global-india-private,MMH Global (India) Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-maestros-electronics-telecommunications-systems,Maestros Electronics & Telecommunications Systems Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-mangalcare-systems-private,Mangalcare Systems Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-mani-tech-nest-solutions,Mani Tech Nest Solutions LLP,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-mann,Mann Technologies,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-manorama-infosolutions-pvt,Manorama Infosolutions Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-medisage,MediSage,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-medicalmine-india-private,MedicalMine India Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-medimaze-solutions-pvt,Medimaze Solutions Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-medionce-solutions-private,Medionce Solutions Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-medjacket-india-pvt,Medjacket India Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-medongo-health-pvt,Medongo Health Pvt. Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-medulia-healthcare-solutions-private,Medulia Healthcare Solutions Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
IN-merago-software-technologies-private,Merago Software Technologies Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P3,India
